date,moon_phase_index,moon_illumination_fraction
2027-04-11,4.466777777777778,0.20931731847830248
2027-04-12,5.47788888888889,0.30286518574085386
2027-04-13,6.489000000000001,0.40550173627809105
2027-04-14,7.500111111111111,0.5124950250820007
2027-04-15,8.511222222222223,0.6189122445299909
2027-04-16,9.522333333333334,0.7198471460420212
2027-04-17,10.533444444444445,0.8106462372623544
2027-04-18,11.544555555555556,0.887123326194249
2027-04-19,12.555666666666667,0.945752520966783
2027-04-20,13.566777777777778,0.9838307871923471
2027-04-21,14.50011111111111,0.9992043310504191
2027-04-22,15.511222222222221,0.9937159820573412
2027-04-23,16.444555555555553,0.9684232819271439
2027-04-24,17.30011111111111,0.9290265570402192
2027-04-25,18.155666666666665,0.875452433886432
2027-04-26,19.089,0.8029302527464246
2027-04-27,19.866777777777777,0.7332635241419536
