date,start_local,end_local,duration_minutes,max_altitude_deg,quality
2027-02-10,2027-02-10T02:53:25.382947+10:00,2027-02-10T04:53:25.382947+10:00,130.0,45.53,excellent
2027-02-11,2027-02-11T02:52:39.514604+10:00,2027-02-11T04:52:39.514604+10:00,130.0,46.22,excellent
2027-02-12,2027-02-12T02:51:52.520487+10:00,2027-02-12T05:01:52.520487+10:00,140.0,49.05,excellent
2027-02-13,2027-02-13T02:49:00+10:00,2027-02-13T04:59:00+10:00,140.0,49.28,excellent
2027-02-14,2027-02-14T02:37:00+10:00,2027-02-14T04:57:00+10:00,150.0,49.7,excellent
2027-02-15,2027-02-15T02:33:00+10:00,2027-02-15T05:03:00+10:00,160.0,51.85,excellent
2027-02-16,2027-02-16T02:36:00+10:00,2027-02-16T04:56:00+10:00,150.0,51.19,excellent
2027-02-17,2027-02-17T02:27:41.692243+10:00,2027-02-17T04:57:41.692243+10:00,160.0,52.41,excellent
2027-02-18,2027-02-18T02:28:00+10:00,2027-02-18T04:58:00+10:00,160.0,53.33,excellent
2027-02-19,2027-02-19T02:26:00+10:00,2027-02-19T05:06:00+10:00,170.0,55.92,excellent
2027-02-20,2027-02-20T03:08:00+10:00,2027-02-20T05:08:00+10:00,130.0,57.21,excellent
2027-02-26,2027-02-26T01:59:13.106262+10:00,2027-02-26T05:09:13.106262+10:00,200.0,62.63,excellent
2027-03-03,2027-03-03T01:34:05.629123+10:00,2027-03-03T05:14:05.629123+10:00,230.0,68.0,excellent
2027-03-04,2027-03-04T01:33:02.456492+10:00,2027-03-04T05:13:02.456492+10:00,230.0,68.63,excellent
2027-03-05,2027-03-05T01:21:58.795627+10:00,2027-03-05T05:11:58.795627+10:00,240.0,69.26,excellent
2027-03-06,2027-03-06T01:20:54.676655+10:00,2027-03-06T05:10:54.676655+10:00,240.0,69.89,excellent
2027-03-07,2027-03-07T01:19:50.129570+10:00,2027-03-07T05:09:50.129570+10:00,240.0,70.51,excellent
2027-03-08,2027-03-08T01:18:45.184220+10:00,2027-03-08T05:18:45.184220+10:00,250.0,73.33,excellent
2027-03-09,2027-03-09T01:07:39.870307+10:00,2027-03-09T05:17:39.870307+10:00,260.0,73.96,excellent
2027-03-10,2027-03-10T01:06:34.217373+10:00,2027-03-10T05:16:34.217373+10:00,260.0,74.58,excellent
2027-03-11,2027-03-11T01:05:28.254799+10:00,2027-03-11T05:15:28.254799+10:00,260.0,75.2,excellent
2027-03-12,2027-03-12T00:54:22.011798+10:00,2027-03-12T05:14:22.011798+10:00,270.0,75.82,excellent
2027-03-13,2027-03-13T00:53:15.517412+10:00,2027-03-13T05:13:15.517412+10:00,270.0,76.44,excellent
2027-03-14,2027-03-14T00:52:08.800509+10:00,2027-03-14T05:22:08.800509+10:00,280.0,79.24,excellent
2027-03-15,2027-03-15T00:51:00+10:00,2027-03-15T05:21:00+10:00,280.0,79.85,excellent
2027-03-16,2027-03-16T00:39:00+10:00,2027-03-16T05:19:00+10:00,290.0,80.27,excellent
2027-03-17,2027-03-17T00:44:00+10:00,2027-03-17T05:24:00+10:00,290.0,82.22,excellent
2027-03-18,2027-03-18T00:37:40.278816+10:00,2027-03-18T05:17:40.278816+10:00,290.0,81.7,excellent
2027-03-19,2027-03-19T00:52:00+10:00,2027-03-19T05:22:00+10:00,280.0,83.48,excellent
2027-03-20,2027-03-20T02:01:00+10:00,2027-03-20T05:21:00+10:00,210.0,84.11,excellent
2027-03-21,2027-03-21T03:09:00+10:00,2027-03-21T05:19:00+10:00,140.0,84.53,excellent
2027-03-22,2027-03-22T04:14:00+10:00,2027-03-22T05:24:00+10:00,80.0,86.39,excellent
2027-03-26,2027-03-26T23:57:34.040088+10:00,2027-03-27T05:27:34.040088+10:00,340.0,88.5,excellent
2027-03-31,2027-03-31T23:42:01.685347+10:00,2027-04-01T05:32:01.685347+10:00,360.0,88.46,excellent
